Gene_Signature	Entrez_Gene_ID	Gene_Symbol	Signature_ID
1_B_Cell_EntrezID	55016	43160	1
1_B_Cell_EntrezID	19	ABCA1	1
1_B_Cell_EntrezID	59	ACTA2	1
1_B_Cell_EntrezID	10863	ADAM28	1
1_B_Cell_EntrezID	132	ADK	1
1_B_Cell_EntrezID	157	ADRBK2	1
1_B_Cell_EntrezID	3899	AFF3	1
1_B_Cell_EntrezID	9447	AIM2	1
1_B_Cell_EntrezID	267	AMFR	1
1_B_Cell_EntrezID	56172	ANKH	1
1_B_Cell_EntrezID	307	ANXA4	1
1_B_Cell_EntrezID	9582	APOBEC3B	1
1_B_Cell_EntrezID	83478	ARHGAP24	1
1_B_Cell_EntrezID	50650	ARHGEF3	1
1_B_Cell_EntrezID	115201	ATG4A	1
1_B_Cell_EntrezID	535	ATP6V0A1	1
1_B_Cell_EntrezID	25825	BACE2	1
1_B_Cell_EntrezID	55024	BANK1	1
1_B_Cell_EntrezID	53335	BCL11A	1
1_B_Cell_EntrezID	605	BCL7A	1
1_B_Cell_EntrezID	389206	BEND4	1
1_B_Cell_EntrezID	330	BIRC3	1
1_B_Cell_EntrezID	640	BLK	1
1_B_Cell_EntrezID	29760	BLNK	1
1_B_Cell_EntrezID	90427	BMF	1
1_B_Cell_EntrezID	23476	BRD4	1
1_B_Cell_EntrezID	682	BSG	1
1_B_Cell_EntrezID	695	BTK	1
1_B_Cell_EntrezID	151888	BTLA	1
1_B_Cell_EntrezID	153579	BTNL9	1
1_B_Cell_EntrezID	53838	C11orf24	1
1_B_Cell_EntrezID	9254	CACNA2D2	1
1_B_Cell_EntrezID	55246	CCDC25	1
1_B_Cell_EntrezID	152137	CCDC50	1
1_B_Cell_EntrezID	901	CCNG2	1
1_B_Cell_EntrezID	4064	CD180	1
1_B_Cell_EntrezID	930	CD19	1
1_B_Cell_EntrezID	912	CD1D	1
1_B_Cell_EntrezID	4345	CD200	1
1_B_Cell_EntrezID	933	CD22	1
1_B_Cell_EntrezID	934	CD24	1
1_B_Cell_EntrezID	952	CD38	1
1_B_Cell_EntrezID	971	CD72	1
1_B_Cell_EntrezID	972	CD74	1
1_B_Cell_EntrezID	973	CD79A	1
1_B_Cell_EntrezID	974	CD79B	1
1_B_Cell_EntrezID	9308	CD83	1
1_B_Cell_EntrezID	942	CD86	1
1_B_Cell_EntrezID	1029	CDKN2A	1
1_B_Cell_EntrezID	1051	CEBPB	1
1_B_Cell_EntrezID	55636	CHD7	1
1_B_Cell_EntrezID	10523	CHERP	1
1_B_Cell_EntrezID	4261	CIITA	1
1_B_Cell_EntrezID	25932	CLIC4	1
1_B_Cell_EntrezID	1269	CNR2	1
1_B_Cell_EntrezID	7373	COL14A1	1
1_B_Cell_EntrezID	8533	COPS3	1
1_B_Cell_EntrezID	11151	CORO1A	1
1_B_Cell_EntrezID	23603	CORO1C	1
1_B_Cell_EntrezID	10391	CORO2B	1
1_B_Cell_EntrezID	53981	CPSF2	1
1_B_Cell_EntrezID	1378	CR1	1
1_B_Cell_EntrezID	1380	CR2	1
1_B_Cell_EntrezID	1522	CTSZ	1
1_B_Cell_EntrezID	643	CXCR5	1
1_B_Cell_EntrezID	220002	CYB561A3	1
1_B_Cell_EntrezID	1536	CYBB	1
1_B_Cell_EntrezID	9267	CYTH1	1
1_B_Cell_EntrezID	27071	DAPP1	1
1_B_Cell_EntrezID	780	DDR1	1
1_B_Cell_EntrezID	160518	DENND5B	1
1_B_Cell_EntrezID	1657	DMXL1	1
1_B_Cell_EntrezID	8701	DNAH11	1
1_B_Cell_EntrezID	54431	DNAJC10	1
1_B_Cell_EntrezID	128338	DRAM2	1
1_B_Cell_EntrezID	1840	DTX1	1
1_B_Cell_EntrezID	1875	E2F5	1
1_B_Cell_EntrezID	1958	EGR1	1
1_B_Cell_EntrezID	400954	EML6	1
1_B_Cell_EntrezID	2052	EPHX1	1
1_B_Cell_EntrezID	115704	EVI5L	1
1_B_Cell_EntrezID	2153	F5	1
1_B_Cell_EntrezID	199786	FAM129C	1
1_B_Cell_EntrezID	150726	FBXO41	1
1_B_Cell_EntrezID	2213	FCGR2B	1
1_B_Cell_EntrezID	115350	FCRL1	1
1_B_Cell_EntrezID	79368	FCRL2	1
1_B_Cell_EntrezID	83416	FCRL5	1
1_B_Cell_EntrezID	84824	FCRLA	1
1_B_Cell_EntrezID	221472	FGD2	1
1_B_Cell_EntrezID	9896	FIG4	1
1_B_Cell_EntrezID	23360	FNBP4	1
1_B_Cell_EntrezID	27086	FOXP1	1
1_B_Cell_EntrezID	8880	FUBP1	1
1_B_Cell_EntrezID	2650	GCNT1	1
1_B_Cell_EntrezID	2731	GLDC	1
1_B_Cell_EntrezID	2760	GM2A	1
1_B_Cell_EntrezID	2768	GNA12	1
1_B_Cell_EntrezID	54762	GRAMD1C	1
1_B_Cell_EntrezID	54103	GSAP	1
1_B_Cell_EntrezID	2954	GSTZ1	1
1_B_Cell_EntrezID	83606	GUCD1	1
1_B_Cell_EntrezID	91316	GUSBP11	1
1_B_Cell_EntrezID	120071	GYLTL1B	1
1_B_Cell_EntrezID	414777	HCG18	1
1_B_Cell_EntrezID	57520	HECW2	1
1_B_Cell_EntrezID	9709	HERPUD1	1
1_B_Cell_EntrezID	3087	HHEX	1
1_B_Cell_EntrezID	85236	HIST1H2BK	1
1_B_Cell_EntrezID	3109	HLA-DMB	1
1_B_Cell_EntrezID	3111	HLA-DOA	1
1_B_Cell_EntrezID	3113	HLA-DPA1	1
1_B_Cell_EntrezID	3115	HLA-DPB1	1
1_B_Cell_EntrezID	3117	HLA-DQA1	1
1_B_Cell_EntrezID	3119	HLA-DQB1	1
1_B_Cell_EntrezID	3120	HLA-DQB2	1
1_B_Cell_EntrezID	3122	HLA-DRA	1
1_B_Cell_EntrezID	3123	HLA-DRB1	1
1_B_Cell_EntrezID	8739	HRK	1
1_B_Cell_EntrezID	3309	HSPA5	1
1_B_Cell_EntrezID	10075	HUWE1	1
1_B_Cell_EntrezID	84329	HVCN1	1
1_B_Cell_EntrezID	3429	IFI27	1
1_B_Cell_EntrezID	3437	IFIT3	1
1_B_Cell_EntrezID	3460	IFNGR2	1
1_B_Cell_EntrezID	3500	IGHG1	1
1_B_Cell_EntrezID	3514	IGKC	1
1_B_Cell_EntrezID	3535	IGL	1
1_B_Cell_EntrezID	3543	IGLL1	1
1_B_Cell_EntrezID	3566	IL4R	1
1_B_Cell_EntrezID	3636	INPPL1	1
1_B_Cell_EntrezID	3662	IRF4	1
1_B_Cell_EntrezID	3394	IRF8	1
1_B_Cell_EntrezID	3708	ITPR1	1
1_B_Cell_EntrezID	9767	JADE3	1
1_B_Cell_EntrezID	3512	JCHAIN	1
1_B_Cell_EntrezID	3728	JUP	1
1_B_Cell_EntrezID	23254	KAZN	1
1_B_Cell_EntrezID	23030	KDM4B	1
1_B_Cell_EntrezID	80183	KIAA0226L	1
1_B_Cell_EntrezID	10661	KLF1	1
1_B_Cell_EntrezID	57565	KLHL14	1
1_B_Cell_EntrezID	8942	KYNU	1
1_B_Cell_EntrezID	91133	L3MBTL4	1
1_B_Cell_EntrezID	25875	LETMD1	1
1_B_Cell_EntrezID	3965	LGALS9	1
1_B_Cell_EntrezID	10184	LHFPL2	1
1_B_Cell_EntrezID	283663	LINC00926	1
1_B_Cell_EntrezID	401252	LOC401252	1
1_B_Cell_EntrezID	440438	LOC440438	1
1_B_Cell_EntrezID	4687	LOC4687	1
1_B_Cell_EntrezID	644347	LOC644347	1
1_B_Cell_EntrezID	651961	LOC651961	1
1_B_Cell_EntrezID	4033	LRMP	1
1_B_Cell_EntrezID	9450	LY86	1
1_B_Cell_EntrezID	4067	LYN	1
1_B_Cell_EntrezID	1326	MAP3K8	1
1_B_Cell_EntrezID	4082	MARCKS	1
1_B_Cell_EntrezID	4208	MEF2C	1
1_B_Cell_EntrezID	92667	MGME1	1
1_B_Cell_EntrezID	4320	MMP11	1
1_B_Cell_EntrezID	79817	MOB3B	1
1_B_Cell_EntrezID	931	MS4A1	1
1_B_Cell_EntrezID	136319	MTPN	1
1_B_Cell_EntrezID	9788	MTSS1	1
1_B_Cell_EntrezID	4605	MYBL2	1
1_B_Cell_EntrezID	4643	MYO1E	1
1_B_Cell_EntrezID	51237	MZB1	1
1_B_Cell_EntrezID	80218	NAA50	1
1_B_Cell_EntrezID	4689	NCF4	1
1_B_Cell_EntrezID	4794	NFKBIE	1
1_B_Cell_EntrezID	348938	NIPAL4	1
1_B_Cell_EntrezID	4818	NKG7	1
1_B_Cell_EntrezID	7376	NR1H2	1
1_B_Cell_EntrezID	4927	NUP88	1
1_B_Cell_EntrezID	4953	ODC1	1
1_B_Cell_EntrezID	114884	OSBPL10	1
1_B_Cell_EntrezID	445815	PALM2-AKAP2	1
1_B_Cell_EntrezID	54625	PARP14	1
1_B_Cell_EntrezID	5095	PCCA	1
1_B_Cell_EntrezID	8682	PEA15	1
1_B_Cell_EntrezID	118788	PIK3AP1	1
