Entrez_Gene_ID	Gene_Symbol
103	ADAR
80830	APOL6
84159	ARID5B
10124	ARL4A
26053	AUTS2
567	B2M
55024	BANK1
116071	BATF2
669	BPGM
684	BST2
694	BTG1
715	C1R
716	C1S
834	CASP1
836	CASP3
837	CASP4
840	CASP7
841	CASP8
6347	CCL2
6352	CCL5
6354	CCL7
29126	CD274
952	CD38
958	CD40
969	CD69
972	CD74
942	CD86
1026	CDKN1A
629	CFB
3075	CFH
4261	CIITA
1240	CMKLR1
129607	CMPK2
1439	CSF2RB
3627	CXCL10
6373	CXCL11
4283	CXCL9
23586	DDX58
55601	DDX60
79132	DHX58
5610	EIF2AK2
317649	EIF4E3
94240	EPSTI1
355	FAS
2209	FCGR1A
10875	FGL2
2357	FPR1
23070	FTSJD2
115361	GBP4
163351	GBP6
2643	GCH1
2841	GPR18
3001	GZMA
55008	HERC6
3091	HIF1A
3105	HLA-A
3106	HLA-B
3108	HLA-DMA
3117	HLA-DQA1
3123	HLA-DRB1
3135	HLA-G
3383	ICAM1
3620	IDO1
3429	IFI27
10437	IFI30
3430	IFI35
10561	IFI44
10964	IFI44L
64135	IFIH1
3434	IFIT1
3433	IFIT2
3437	IFIT3
10581	IFITM2
10410	IFITM3
3455	IFNAR2
3587	IL10RA
3600	IL15
3601	IL15RA
10068	IL18BP
3560	IL2RB
3566	IL4R
3569	IL6
3574	IL7
3659	IRF1
3660	IRF2
3662	IRF4
3663	IRF5
3665	IRF7
3394	IRF8
10379	IRF9
9636	ISG15
3669	ISG20
51015	ISOC1
3695	ITGB7
3717	JAK2
22914	KLRK1
51056	LAP3
26524	LATS2
3937	LCP2
3959	LGALS3BP
4061	LY6E
256586	LYSMD2
55016	1-Mar
196410	METTL7B
4502	MT2A
10797	MTHFD2
9961	MVP
4599	MX1
4600	MX2
4615	MYD88
10135	NAMPT
8202	NCOA3
4790	NFKB1
4792	NFKBIA
84166	NLRC5
9111	NMI
10392	NOD1
9688	NUP93
4939	OAS2
4940	OAS3
8638	OASL
11054	OGFR
9934	P2RY14
64761	PARP12
54625	PARP14
5142	PDE4B
57162	PELI1
5214	PFKP
5292	PIM1
5321	PLA2G4A
5359	PLSCR1
5371	PML
4860	PNP
87178	PNPT1
85441	PRIC285
5683	PSMA2
5684	PSMA3
5699	PSMB10
5690	PSMB2
5696	PSMB8
5698	PSMB9
5720	PSME1
5721	PSME2
5743	PTGS2
5770	PTPN1
5771	PTPN2
5777	PTPN6
51735	RAPGEF6
10616	RBCK1
8737	RIPK1
8767	RIPK2
57674	RNF213
55072	RNF31
91543	RSAD2
64108	RTP4
219285	SAMD9L
25939	SAMHD1
6398	SECTM1
6403	SELP
710	SERPING1
57823	SLAMF7
81894	SLC25A28
8651	SOCS1
9021	SOCS3
6648	SOD2
3431	SP110
84888	SPPL2A
6717	SRI
8082	SSPN
8869	ST3GAL5
7903	ST8SIA4
6772	STAT1
6773	STAT2
6774	STAT3
6775	STAT4
6890	TAP1
6892	TAPBP
23424	TDRD7
7127	TNFAIP2
7128	TNFAIP3
7130	TNFAIP6
8743	TNFSF10
27348	TOR1B
10906	TRAFD1
9830	TRIM14
6737	TRIM21
7706	TRIM25
7726	TRIM26
10628	TXNIP
9246	UBE2L6
7378	UPP1
11274	USP18
10791	VAMP5
8673	VAMP8
7412	VCAM1
7453	WARS
54739	XAF1
6375	XCL1
81030	ZBP1
57169	ZNFX1
