query,notfound,_id,_score,symbol
100130426,True,,,
100133144,True,,,
100134869,,100134869,8.489829,UBE2Q2P2
10357,,10357,8.489829,HMGB1P1
10431,True,,,
136542,True,,,
155060,,155060,8.489829,LOC155060
26823,,26823,8.489829,RNU12-2P
280660,,280660,8.489829,SSX9P
317712,True,,,
340602,,340602,26.31847,EZHIP
388795,,388795,26.31847,EFCAB8
390284,,390284,8.489829,SRP14P1
391343,True,,,
391714,,391714,25.525448,TRIM75
404770,,404770,8.489829,SPATA31B1P
441362,,441362,8.489829,REXO1L6P
442388,,442388,8.4894285,SDR16C6P
553137,True,,,
57714,True,,,
645851,True,,,
652919,True,,,
653553,,653553,8.489829,HSPB1P1
728045,,728045,8.489829,PPBPP1
728603,True,,,
728788,,728788,8.489829,ANKRD20A20P
729884,True,,,
8225,,8225,26.31847,GTPBP6
90288,,90288,26.31847,EFCAB12
1,,1,26.31847,A1BG
29974,,29974,25.52669,A1CF
54715,,54715,26.31847,RBFOX1
87769,,87769,26.31847,GGACT
2,,2,25.52669,A2M
144568,,144568,26.31847,A2ML1
53947,,53947,26.31847,A4GALT
51146,,51146,26.31847,A4GNT
404744,,404744,26.31847,NPSR1-AS1
8086,,8086,25.52669,AAAS
65985,,65985,25.52669,AACS
729522,,729522,8.489829,AACSP1
13,,13,25.52669,AADAC
344752,,344752,26.31847,AADACL2
126767,,126767,26.31847,AADACL3
343066,,343066,26.317228,AADACL4
51166,,51166,26.317228,AADAT
79719,,79719,26.31847,AAGAB
22848,,22848,25.52669,AAK1
14,,14,26.31847,AAMP
15,,15,26.31847,AANAT
16,,16,26.31847,AARS1
57505,,57505,26.31847,AARS2
80755,,80755,26.31847,AARSD1
132949,,132949,26.31847,AASDH
60496,,60496,25.52669,AASDHPPT
10157,,10157,26.317228,AASS
26574,,26574,26.317228,AATF
9625,,9625,25.52669,AATK
18,,18,25.52669,ABAT
10349,,10349,26.31847,ABCA10
19,,19,25.52669,ABCA1
79963,,79963,8.489829,ABCA11P
26154,,26154,25.52669,ABCA12
154664,,154664,26.31847,ABCA13
650655,,650655,8.489829,ABCA17P
20,,20,26.31847,ABCA2
21,,21,26.31847,ABCA3
24,,24,25.52669,ABCA4
23461,,23461,26.31847,ABCA5
23460,,23460,26.31847,ABCA6
10347,,10347,26.31847,ABCA7
10351,,10351,26.31847,ABCA8
10350,,10350,26.31847,ABCA9
23456,,23456,26.31847,ABCB10
8647,,8647,25.52669,ABCB11
5243,,5243,25.52669,ABCB1
5244,,5244,25.52669,ABCB4
340273,,340273,26.31847,ABCB5
10058,,10058,26.31847,ABCB6
22,,22,26.31847,ABCB7
11194,,11194,25.52669,ABCB8
23457,,23457,26.31847,ABCB9
89845,,89845,25.525448,ABCC10
85320,,85320,26.31847,ABCC11
94160,,94160,26.31847,ABCC12
150000,,150000,8.489829,ABCC13
4363,,4363,25.52669,ABCC1
1244,,1244,25.52669,ABCC2
8714,,8714,25.52669,ABCC3
10257,,10257,25.52669,ABCC4
10057,,10057,26.31847,ABCC5
368,,368,25.525448,ABCC6
653190,,653190,8.489829,ABCC6P1
730013,,730013,8.489829,ABCC6P2
6833,,6833,26.31847,ABCC8
10060,,10060,25.52669,ABCC9
215,,215,26.31847,ABCD1
225,,225,26.31847,ABCD2
5825,,5825,26.31847,ABCD3
5826,,5826,25.52669,ABCD4
6059,,6059,26.31847,ABCE1
23,,23,25.52669,ABCF1
10061,,10061,26.31847,ABCF2
55324,,55324,26.31847,ABCF3
9619,,9619,25.52669,ABCG1
9429,,9429,25.52669,ABCG2
64137,,64137,25.52669,ABCG4
64240,,64240,26.31847,ABCG5
64241,,64241,26.31847,ABCG8
55347,,55347,26.31847,ABHD10
83451,,83451,26.317228,ABHD11
26090,,26090,26.317228,ABHD12
145447,,145447,26.31847,ABHD12B
84945,,84945,26.31847,ABHD13
25864,,25864,26.31847,ABHD14A
84836,,84836,26.31847,ABHD14B
116236,,116236,26.31847,ABHD15
84696,,84696,26.31847,ABHD1
11057,,11057,26.31847,ABHD2
171586,,171586,25.52669,ABHD3
63874,,63874,26.31847,ABHD4
51099,,51099,26.31847,ABHD5
57406,,57406,25.52669,ABHD6
79575,,79575,26.31847,ABHD8
10006,,10006,26.31847,ABI1
10152,,10152,26.31847,ABI2
51225,,51225,26.31847,ABI3
25890,,25890,25.52669,ABI3BP
25,,25,25.52669,ABL1
27,,27,25.52669,ABL2
3983,,3983,26.31847,ABLIM1
84448,,84448,26.31847,ABLIM2
22885,,22885,26.31847,ABLIM3
28,,28,25.52669,ABO
26,,26,26.31847,AOC1
29,,29,26.31847,ABR
137735,,137735,26.31847,ABRA
29777,,29777,25.52669,ABT1
80325,,80325,26.31847,ABTB1
25841,,25841,26.31847,ABTB2
30,,30,26.31847,ACAA1
10449,,10449,26.31847,ACAA2
31,,31,25.525448,ACACA
32,,32,26.317228,ACACB
80724,,80724,26.31847,ACAD10
84129,,84129,26.31847,ACAD11
27034,,27034,25.52669,ACAD8
28976,,28976,25.52669,ACAD9
33,,33,26.31847,ACADL
34,,34,26.31847,ACADM
35,,35,26.31847,ACADS
36,,36,25.52669,ACADSB
37,,37,26.31847,ACADVL
176,,176,26.31847,ACAN
9744,,9744,26.31847,ACAP1
23527,,23527,26.31847,ACAP2
116983,,116983,26.31847,ACAP3
38,,38,26.317228,ACAT1
39,,39,26.31847,ACAT2
64746,,64746,26.31847,ACBD3
79777,,79777,25.52669,ACBD4
91452,,91452,25.52669,ACBD5
84320,,84320,26.317228,ACBD6
414149,,414149,25.52669,ACBD7
40,,40,26.31847,ASIC2
41,,41,26.31847,ASIC1
9311,,9311,26.31847,ASIC3
55515,,55515,26.31847,ASIC4
51802,,51802,26.31847,ASIC5
84680,,84680,26.31847,ACCS
390110,,390110,25.52669,ACCSL
65057,,65057,25.52669,ACD
1636,,1636,25.52669,ACE
59272,,59272,25.52669,ACE2
125981,,125981,25.52669,ACER1
340485,,340485,25.52669,ACER2
55331,,55331,26.31847,ACER3
43,,43,25.525448,ACHE
22985,,22985,26.31847,ACIN1
47,,47,26.31847,ACLY
130013,,130013,26.317228,ACMSD
57001,,57001,26.31847,SDHAF3
48,,48,26.31847,ACO1
50,,50,26.31847,ACO2
26027,,26027,26.31847,ACOT11
134526,,134526,26.31847,ACOT12
55856,,55856,25.52669,ACOT13
641371,,641371,26.31847,ACOT1
10965,,10965,26.31847,ACOT2
122970,,122970,26.317228,ACOT4
641372,,641372,25.52669,ACOT6
11332,,11332,26.31847,ACOT7
10005,,10005,26.31847,ACOT8
23597,,23597,26.31847,ACOT9
51,,51,26.31847,ACOX1
8309,,8309,26.31847,ACOX2
8310,,8310,26.31847,ACOX3
55289,,55289,26.31847,ACOXL
52,,52,26.31847,ACP1
53,,53,26.31847,ACP2
54,,54,25.52669,ACP5
51205,,51205,26.31847,ACP6
92370,,92370,26.31847,PXYLP1
55,,55,25.52669,ACP3
93650,,93650,26.31847,ACP4
49,,49,26.31847,ACR
84519,,84519,25.52669,ACRBP
93953,,93953,25.525448,GCNA
56,,56,26.317228,ACRV1
23205,,23205,25.525448,ACSBG1
81616,,81616,26.31847,ACSBG2
80221,,80221,26.31847,ACSF2
197322,,197322,26.31847,ACSF3
2180,,2180,25.52669,ACSL1
2181,,2181,25.52669,ACSL3
2182,,2182,25.52669,ACSL4
51703,,51703,26.31847,ACSL5
23305,,23305,26.31847,ACSL6
116285,,116285,26.31847,ACSM1
123876,,123876,26.31847,ACSM2A
348158,,348158,26.31847,ACSM2B
6296,,6296,25.52669,ACSM3
341392,,341392,26.31847,ACSM4
54988,,54988,26.31847,ACSM5
84532,,84532,26.31847,ACSS1
55902,,55902,25.52669,ACSS2
79611,,79611,25.52669,ACSS3
58,,58,26.31847,ACTA1
59,,59,25.52669,ACTA2
60,,60,25.52669,ACTB
345651,,345651,26.317228,ACTBL2
70,,70,25.52669,ACTC1
71,,71,25.52669,ACTG1
72,,72,26.31847,ACTG2
86,,86,25.52669,ACTL6A
51412,,51412,26.31847,ACTL6B
10881,,10881,25.525448,ACTL7A
10880,,10880,26.31847,ACTL7B
81569,,81569,26.31847,ACTL8
284382,,284382,25.52669,ACTL9
87,,87,25.52669,ACTN1
88,,88,25.525448,ACTN2
89,,89,25.52669,ACTN3
81,,81,25.52669,ACTN4
55860,,55860,26.31847,ACTR10
10121,,10121,25.52669,ACTR1A
10120,,10120,26.31847,ACTR1B
10097,,10097,26.31847,ACTR2
10096,,10096,26.31847,ACTR3
57180,,57180,26.31847,ACTR3B
653857,,653857,26.31847,ACTR3C
79913,,79913,25.52669,ACTR5
64431,,64431,26.31847,ACTR6
93973,,93973,25.52669,ACTR8
139741,,139741,26.31847,ACTRT1
140625,,140625,26.31847,ACTRT2
90,,90,25.52669,ACVR1
91,,91,25.52669,ACVR1B
130399,,130399,26.31847,ACVR1C
92,,92,26.31847,ACVR2A
93,,93,25.52669,ACVR2B
94,,94,25.52669,ACVRL1
95,,95,26.31847,ACY1
91703,,91703,26.31847,ACY3
97,,97,26.31847,ACYP1
98,,98,26.31847,ACYP2
100,,100,25.52669,ADA
132612,,132612,26.31847,ADAD1
161931,,161931,26.31847,ADAD2
161823,,161823,26.31847,ADAL
102,,102,25.52669,ADAM10
4185,,4185,26.317228,ADAM11
8038,,8038,25.525448,ADAM12
8751,,8751,26.31847,ADAM15
6868,,6868,25.52669,ADAM17
8749,,8749,26.31847,ADAM18
8728,,8728,26.31847,ADAM19
8748,,8748,26.31847,ADAM20
8747,,8747,26.31847,ADAM21
145241,,145241,8.489829,ADAM21P1
2515,,2515,25.52669,ADAM2
53616,,53616,25.52669,ADAM22
8745,,8745,26.31847,ADAM23
10863,,10863,26.31847,ADAM28
11086,,11086,26.31847,ADAM29
11085,,11085,26.31847,ADAM30
203102,,203102,26.31847,ADAM32
80332,,80332,26.31847,ADAM33
1587,,1587,8.489829,ADAM3A
255926,,255926,8.489829,ADAM5
