Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments	Fusion_Status
RPTOR	0	MSKCC-DMP	P-0014470-T01-IM6	RPTOR-intragenic	yes	unknown	NA	unknown	RPTOR (NM_020761) Rearrangement :  c.284_c.348+4045dup Note: The RPTOR Rearrangement results in the intragenic duplication of RPTOR exon 3. One of the breakpoints is within exon 3 of RPTOR. Its functional significance is undetermined.	
TBX3	0	MSKCC-DMP	P-0013025-T01-IM5	ZNF664-TBX3 fusion	yes	unknown	NA	unknown	TBX3 (NM_016569) rearrangement: chr12:g.124583968_c.211:TBX3inv Note: The TBX3 rearrangement is an inversion of 5UTR and exon 1. One of the breakpoints is within exon 1.	
ZNF664	0	MSKCC-DMP	P-0013025-T01-IM5	ZNF664-TBX3 fusion	yes	unknown	NA	unknown	TBX3 (NM_016569) rearrangement: chr12:g.124583968_c.211:TBX3inv Note: The TBX3 rearrangement is an inversion of 5UTR and exon 1. One of the breakpoints is within exon 1.	
BRCA2	0	MSKCC-DMP	P-0013956-T01-IM5	BRCA2-intragenic	yes	unknown	NA	unknown	BRCA2 (NM_00005) rearrangement: c.3575_c.6269inv Note: The BRCA2 rearrangement is an inversion of exon 11. Both breakpoints are within exon. The functional significance is undetermined.	
ROS1	0	MSKCC-DMP	P-0013451-T01-IM5	STX7-ROS1 fusion	yes	unknown	NA	out of frame	STX7 (NM_003569) - ROS1 (NM_002944) rearrangement: c.86-3411:STX7_c.5366+1036:ROS1del Note: The STX7 - ROS1 rearrangement is a deletion that results in the fusion of STX7 exons 1-2 with ROS1 exons 33-43, which include the kinase domain.	
STX7	0	MSKCC-DMP	P-0013451-T01-IM5	STX7-ROS1 fusion	yes	unknown	NA	out of frame	STX7 (NM_003569) - ROS1 (NM_002944) rearrangement: c.86-3411:STX7_c.5366+1036:ROS1del Note: The STX7 - ROS1 rearrangement is a deletion that results in the fusion of STX7 exons 1-2 with ROS1 exons 33-43, which include the kinase domain.	
EWSR1	0	MSKCC-DMP	P-0010994-T01-IM5	MTMR3-EWSR1 fusion	yes	unknown	NA	unknown	MTMR3 (NM_021090) - EWSR1 (NM_013986) rearrangement: c.-85+3820:MTMR3_c.992+1294:EWSR1dup Note: The MTMR3 - EWSR1 rearrangement is a duplication that results in fusion of 5-UTR of MTMR3 with EWSR1 exons 9-18. The functional significance is undetermined.	
MTMR3	0	MSKCC-DMP	P-0010994-T01-IM5	MTMR3-EWSR1 fusion	yes	unknown	NA	unknown	MTMR3 (NM_021090) - EWSR1 (NM_013986) rearrangement: c.-85+3820:MTMR3_c.992+1294:EWSR1dup Note: The MTMR3 - EWSR1 rearrangement is a duplication that results in fusion of 5-UTR of MTMR3 with EWSR1 exons 9-18. The functional significance is undetermined.	
PRMT8	0	MSKCC-DMP	P-0010742-T01-IM5	APC-PRMT8 fusion	yes	unknown	NA	unknown	APC (NM_000038) - PRMT8 (NM_019854) rearrangement : t(5;12)(q22.2;p12.32)(chr5:g.112175904::chr12:g.3608058) Note: The APC-PRMT8 rearrangement is a translocation which results in the fusion of APC exons 1-16 with PRMT8 exon1. One of the breakpoints is within APC exon16. This fusion could also be interpreted as a truncation of APC gene at exon16.	
APC	0	MSKCC-DMP	P-0010742-T01-IM5	APC-PRMT8 fusion	yes	unknown	NA	unknown	APC (NM_000038) - PRMT8 (NM_019854) rearrangement : t(5;12)(q22.2;p12.32)(chr5:g.112175904::chr12:g.3608058) Note: The APC-PRMT8 rearrangement is a translocation which results in the fusion of APC exons 1-16 with PRMT8 exon1. One of the breakpoints is within APC exon16. This fusion could also be interpreted as a truncation of APC gene at exon16.	
