"","entrez_id","symbol","n_exons","length","source","Symbol"
"1","1","A1BG",8,1766,"IGIS","A1BG"
"10","10","NAT2",2,1317,"IGIS","NAT2"
"100","100","ADA",26,3386,"IGIS","ADA"
"1000","1000","CDH2",18,4504,"IGIS","CDH2"
"10000","10000","AKT3",99,39468,"IGIS","AKT3"
"100008586","100008586","GAGE12F",5,598,"IGIS","GAGE12F"
"100008587","100008587","RNA5-8S5",1,156,"IGIS","RNA5-8S5"
"100008588","100008588","RNA18S5",1,1869,"IGIS","RNA18S5"
"100008589","100008589","RNA28S5",1,5070,"IGIS","RNA28S5"
"100009613","100009613","ANO1-AS2",3,804,"IGIS","ANO1-AS2"
"100009667","100009667","POU5F1P5",1,937,"external","POU5F1P5"
"100009676","100009676","ZBTB11-AS1",1,2788,"IGIS","ZBTB11-AS1"
"10001","10001","MED6",12,5276,"IGIS","MED6"
"10002","10002","NR2E3",9,2922,"IGIS","NR2E3"
"10003","10003","NAALAD2",42,8259,"IGIS","NAALAD2"
"100033413","100033413","SNORD116-1",1,97,"IGIS","SNORD116-1"
"100033414","100033414","SNORD116-2",1,97,"IGIS","SNORD116-2"
"100033415","100033415","SNORD116-3",1,97,"IGIS","SNORD116-3"
"100033416","100033416","SNORD116-4",1,98,"IGIS","SNORD116-4"
"100033417","100033417","SNORD116-5",1,97,"IGIS","SNORD116-5"
"100033418","100033418","SNORD116-6",1,98,"IGIS","SNORD116-6"
"100033419","100033419","SNORD116-7",1,97,"IGIS","SNORD116-7"
"100033420","100033420","SNORD116-8",1,97,"IGIS","SNORD116-8"
"100033421","100033421","SNORD116-9",1,97,"IGIS","SNORD116-9"
"100033422","100033422","SNORD116-10",1,104,"IGIS","SNORD116-10"
"100033423","100033423","SNORD116-11",1,94,"IGIS","SNORD116-11"
"100033424","100033424","SNORD116-12",1,94,"IGIS","SNORD116-12"
"100033425","100033425","SNORD116-13",1,94,"IGIS","SNORD116-13"
"100033426","100033426","SNORD116-14",1,94,"IGIS","SNORD116-14"
"100033427","100033427","SNORD116-15",1,94,"IGIS","SNORD116-15"
"100033428","100033428","SNORD116-16",1,94,"IGIS","SNORD116-16"
"100033429","100033429","SNORD116-17",1,94,"IGIS","SNORD116-17"
"100033430","100033430","SNORD116-18",1,94,"IGIS","SNORD116-18"
"100033431","100033431","SNORD116-20",1,94,"IGIS","SNORD116-20"
"100033432","100033432","SNORD116-21",1,94,"IGIS","SNORD116-21"
"100033433","100033433","SNORD116-22",1,94,"IGIS","SNORD116-22"
"100033434","100033434","SNORD116-23",1,94,"IGIS","SNORD116-23"
"100033435","100033435","SNORD116-24",1,94,"IGIS","SNORD116-24"
"100033436","100033436","SNORD116-25",1,94,"IGIS","SNORD116-25"
"100033437","100033437","SNORD115-2",1,82,"IGIS","SNORD115-2"
"100033438","100033438","SNORD116-26",1,98,"IGIS","SNORD116-26"
"100033439","100033439","SNORD116-27",1,94,"IGIS","SNORD116-27"
"100033440","100033440","SNORD115-3",1,82,"IGIS","SNORD115-3"
"100033441","100033441","SNORD115-4",1,82,"IGIS","SNORD115-4"
"100033442","100033442","SNORD115-5",1,82,"IGIS","SNORD115-5"
"100033443","100033443","SNORD115-6",1,82,"IGIS","SNORD115-6"
"100033444","100033444","SNORD115-7",1,82,"IGIS","SNORD115-7"
"100033445","100033445","SNORD115-8",1,82,"IGIS","SNORD115-8"
"100033446","100033446","SNORD115-9",1,82,"IGIS","SNORD115-9"
"100033447","100033447","SNORD115-10",1,81,"IGIS","SNORD115-10"
"100033448","100033448","SNORD115-11",1,82,"IGIS","SNORD115-11"
"100033449","100033449","SNORD115-12",1,82,"IGIS","SNORD115-12"
"100033450","100033450","SNORD115-13",1,82,"IGIS","SNORD115-13"
"100033451","100033451","SNORD115-14",1,81,"IGIS","SNORD115-14"
"100033453","100033453","SNORD115-15",1,81,"IGIS","SNORD115-15"
"100033454","100033454","SNORD115-16",1,82,"IGIS","SNORD115-16"
"100033455","100033455","SNORD115-17",1,82,"IGIS","SNORD115-17"
"100033456","100033456","SNORD115-18",1,82,"IGIS","SNORD115-18"
"100033458","100033458","SNORD115-19",1,82,"IGIS","SNORD115-19"
"100033460","100033460","SNORD115-20",1,82,"IGIS","SNORD115-20"
"100033603","100033603","SNORD115-21",1,81,"IGIS","SNORD115-21"
"100033799","100033799","SNORD115-22",1,82,"IGIS","SNORD115-22"
"100033800","100033800","SNORD115-23",1,82,"IGIS","SNORD115-23"
