,start,end,featlen,totlen,percent,type,name,gene
CDK6_13_300_DOMAIN,13.0,300.0,287.0,326.0,0.8803680981595092,DOMAIN,Protein kinase,CDK6
CHEK2_113_175_DOMAIN,113.0,175.0,62.0,543.0,0.1141804788213628,DOMAIN,FHA,CHEK2
CHEK2_220_486_DOMAIN,220.0,486.0,266.0,543.0,0.48987108655616945,DOMAIN,Protein kinase,CHEK2
CHEK2_368_394_REGION,368.0,394.0,26.0,543.0,0.04788213627992634,REGION,T-loop/activation segment,CHEK2
IDH1_94_100_REGION,94.0,100.0,6.0,414.0,0.014492753623188406,REGION,Substrate binding,IDH1
INSR_624_726_DOMAIN,624.0,726.0,102.0,1382.0,0.07380607814761216,DOMAIN,Fibronectin type-III 1,INSR
INSR_757_842_DOMAIN,757.0,842.0,85.0,1382.0,0.06150506512301013,DOMAIN,Fibronectin type-III 2,INSR
INSR_853_947_DOMAIN,853.0,947.0,94.0,1382.0,0.06801736613603473,DOMAIN,Fibronectin type-III 3,INSR
INSR_1023_1298_DOMAIN,1023.0,1298.0,275.0,1382.0,0.19898697539797394,DOMAIN,Protein kinase,INSR
INSR_733_741_REGION,733.0,741.0,8.0,1382.0,0.005788712011577424,REGION,Insulin-binding,INSR
INSR_999_999_REGION,999.0,999.0,0.0,1382.0,0.0,REGION,"Important for interaction with IRS1, SHC1 and STAT5B",INSR
INSR_1361_1364_REGION,1361.0,1364.0,3.0,1382.0,0.002170767004341534,REGION,PIK3R1-binding,INSR
MET_27_515_DOMAIN,27.0,515.0,488.0,1390.0,0.3510791366906475,DOMAIN,Sema,MET
MET_563_655_DOMAIN,563.0,655.0,92.0,1390.0,0.06618705035971223,DOMAIN,IPT/TIG 1,MET
MET_657_739_DOMAIN,657.0,739.0,82.0,1390.0,0.058992805755395686,DOMAIN,IPT/TIG 2,MET
MET_742_836_DOMAIN,742.0,836.0,94.0,1390.0,0.06762589928057554,DOMAIN,IPT/TIG 3,MET
MET_1078_1345_DOMAIN,1078.0,1345.0,267.0,1390.0,0.1920863309352518,DOMAIN,Protein kinase,MET
MET_1212_1390_REGION,1212.0,1390.0,178.0,1390.0,0.12805755395683452,REGION,Interaction with RANBP9,MET
MET_1320_1359_REGION,1320.0,1359.0,39.0,1390.0,0.02805755395683453,REGION,Interaction with MUC20,MET
MTOR_1382_1982_DOMAIN,1382.0,1982.0,600.0,2549.0,0.23538642604943116,DOMAIN,FAT,MTOR
MTOR_2182_2516_DOMAIN,2182.0,2516.0,334.0,2549.0,0.13103177716751668,DOMAIN,PI3K/PI4K,MTOR
MTOR_2517_2549_DOMAIN,2517.0,2549.0,32.0,2549.0,0.012553942722636328,DOMAIN,FATC,MTOR
MTOR_1_651_REGION,1.0,651.0,650.0,2549.0,0.2550019615535504,REGION,Interaction with NBN,MTOR
MTOR_2012_2144_REGION,2012.0,2144.0,132.0,2549.0,0.05178501373087485,REGION,Sufficient for interaction with the FKBP1A/rapamycin complex,MTOR
MTOR_2258_2296_REGION,2258.0,2296.0,38.0,2549.0,0.01490780698313064,REGION,Interaction with MLST8,MTOR
NF2_22_311_DOMAIN,22.0,311.0,289.0,595.0,0.4857142857142857,DOMAIN,FERM,NF2
TBX22,,,,520.0,,,,TBX22
